stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
174,174,Jaume Roig - Álvaro de Bazán,Jaume Roig 12 - VALÈNCIA,39.4812704233996,-0.363910441597527,,,0,,0
175,175,Jaume Roig - Primat Reig,Jaume Roig 26 - VALÈNCIA,39.4831954988556,-0.362985398813211,,,0,,0
177,177,Emili Baró - Metro Benimaclet,Emili Baró 14 - VALÈNCIA,39.4851199368186,-0.362050106987938,,,0,,0
178,178,Emili Baró - Manuel Castellanos,Emili Baró 40 - VALÈNCIA,39.4865961998704,-0.361397025007829,,,0,,0
179,179,Emili Baró - Francesc Martínez,Emili Baró 58 - VALÈNCIA,39.4882296696036,-0.360591262939952,,,0,,0
186,186,Primat Reig - Jaume Roig,Primat Reig 70 - VALÈNCIA,39.4840739863448,-0.363380326453222,,,0,,0
188,188,Primat Reig - Campus Universitari,Primat Reig 108 - VALÈNCIA,39.4801859378094,-0.358104063352953,,,0,,0
192,192,Primat Reig - Camí Vera,Primat Reig 181 - VALÈNCIA,39.4803150840453,-0.357935418906495,,,0,,0
194,194,Primat Reig - Emili Baró,Primat Reig 123 - VALÈNCIA,39.4842369131319,-0.363221269502899,,,0,,0
197,197,Primat Reig - Sant Vicent de Paül,Primat Reig 35 - VALÈNCIA,39.4900468782268,-0.371041979797436,,,0,,0
198,198,Pare Viñas - Reig Genovés,Pare Viñas 46 - VALÈNCIA,39.4921700143971,-0.371618893116698,,,0,,0
199,199,Pare Viñas - Duc de Mandas,Pare Viñas 72 - VALÈNCIA,39.4941266874631,-0.370439011225175,,,0,,0
200,200,Pare Viñas - Daroca,Pare Viñas 92 - VALÈNCIA,39.4957885521837,-0.369006364093352,,,0,,0
202,202,Sant Joan Bosco - Daroca,Sant Joan Bosco 87 - VALÈNCIA,39.4966044952136,-0.369854350089009,,,0,,0
206,206,Primat Reig - Bilbao,Primat Reig 14 - VALÈNCIA,39.4901534998608,-0.371488794365309,,,0,,0
207,207,Primat Reig - Almassora,Primat Reig 44 - VALÈNCIA,39.4882781638522,-0.368974883906151,,,0,,0
215,215,Alboraia - Primat Reig,Alboraia 74 - VALÈNCIA,39.4869938132997,-0.367890667915141,,,0,,0
